net sales,inventory,% curr assets,net profit,emp costs
527692.69,71470.38,82.14,16894.15,11102.17
371019.00,44144.00,73.55,35163.00,5834.00
297275.05,21544.65,76.10,7132.02,3664.18
275197.42,20193.42,77.84,6028.66,2938.48
123170.00,5.00,0.01,30065.00,59377.00
109609.42,7749.17,46.42,26715.79,12113.03
90307.43,7988.02,43.02,11749.89,4779.89
86987.86,3220.44,8.25,6677.70,6082.49
6693.19,1002.99,38.07,464.47,488.75
86020.30,3325.70,57.19,7500.60,3254.90
76727.00,10599.00,46.03,8259.00,1400.00
75126.30,2321.91,30.56,6025.67,1778.37
70610.71,11255.34,84.40,10533.19,5131.06
69202.76,4662.00,50.57,2020.60,4273.10
69202.76,4662.00,50.57,2020.60,4273.10
66967.31,19441.80,80.48,2178.82,8830.34
53614.00,3839.27,33.34,4796.04,2980.22
49608.00,1.00,0.02,-1829.00,1471.00
48123.80,174.10,0.88,7614.00,23808.50
62062.14,5811.04,67.41,331.96,2938.48
45749.16,11394.46,75.46,1205.43,1981.71
44995.65,7587.24,50.57,12464.32,2728.44
38395.43,569.44,11.59,2155.43,125.87
38224.00,2422.00,31.12,6036.00,1747.00
41338.39,4847.08,74.79,-213.36,460.52
35703.50,3273.62,54.60,2455.72,1926.01
34119.12,1226.28,12.04,9938.55,1783.57
33650.54,1072.37,26.61,3384.87,1730.24
30348.95,8113.49,29.37,1215.39,6261.27
30249.96,961.51,21.64,4675.18,1255.40
6857.90,3256.40,56.29,1655.00,541.90
29054.95,2684.67,40.90,1983.20,2098.77
28496.77,211.44,2.30,156.14,3137.79
12084.60,4413.65,41.38,1927.29,1879.05
13734.96,1219.91,14.07,2590.14,1576.53
26012.00,14.00,0.16,8185.00,8079.00
15837.00,2950.93,54.93,1096.87,1144.28
19894.12,19764.51,58.45,2282.44,4295.17
12977.52,626.67,29.51,889.24,484.21
12374.01,2868.41,46.18,1888.41,1839.84
12257.90,1444.30,33.87,1598.00,1370.40
12257.89,3971.26,42.80,1529.73,1362.77
12245.24,1586.04,18.10,298.45,556.01
10303.21,2792.62,34.20,816.60,1571.34
11356.32,2305.98,37.85,1538.83,1515.42
10625.50,2015.60,34.48,1277.30,1931.90
4879.66,1663.18,54.52,1332.65,530.72
8885.47,1478.78,24.51,139.17,591.41
7145.92,1464.38,22.92,1266.97,2963.68
6492.70,1410.40,39.13,1602.10,974.50
5762.48,1358.30,46.01,745.42,1014.06
1379.00,61.00,3.36,2847.00,105.00
3128.76,325.56,63.10,2282.13,252.95
7932.83,579.51,30.00,1708.58,637.57
6304.87,911.21,28.00,1622.11,969.98
2655.77,44.90,1.39,1364.29,
6519.99,760.42,22.44,1071.28,486.29
12353.77,2051.48,71.01,592.11,737.24
12152.67,666.17,9.95,4642.11,1036.75
11722.00,1589.05,60.44,1570.18,731.01
11667.88,954.07,15.47,1528.54,672.63
11499.32,1210.01,24.46,1732.40,2072.28
11419.02,,,,1377.76
4429.76,2200.52,65.35,1229.98,94.66
,1820.83,71.25,2805.75,
,1308.39,42.86,3050.43,
3224.68,486.49,27.61,982.80,628.55
9829.49,2746.37,58.19,500.07,577.17
27715.97,3893.18,79.49,156.14,
21118.00,1544.00,87.58,7956.00,905.00
20891.60,4581.88,80.62,1713.09,
20550.43,2931.66,45.39,515.30,1529.00
20164.90,5065.59,89.90,,1074.41
19916.25,1576.22,84.50,,
19184.81,,,,2222.87
19069.97,6719.18,83.17,1374.36,878.79
18209.92,1175.94,44.65,670.14,922.63
17383.97,,,3890.34,1721.17
16851.21,1532.97,37.99,,
16391.78,2585.10,64.67,2134.76,902.79
15541.30,1901.88,26.23,,
13683.80,1095.00,11.18,1086.90,1603.60
13203.85,3234.23,42.59,,
12585.01,2044.16,70.47,,
12368.90,1283.07,47.25,1966.55,1262.95
1987.80,24.17,3.34,,2272.03
9113.25,137.32,39.17,-316.08,1057.01
7753.67,382.63,18.81,937.05,926.03
19916.25,1576.22,84.50,936.35,335.03
20164.90,5065.59,89.90,732.81,1074.41
8117.72,1921.28,69.48,321.22,913.02
8660.00,1866.00,39.71,405.00,551.00
906.60,271.11,17.62,-6760.76,118.79
9429.20,1917.03,53.15,733.03,899.58
38644.00,7657.00,56.66,5075.00,862.00
63401.19,,,-16297.84,6808.24
54985.77,,,-7354.41,4747.32
73107.00,,,14702.00,38296.00
98972.05,,,13528.08,7761.76
242868.65,,,726.10,41054.71
51310.25,,,-38316.50,6963.16
43348.04,,,9632.46,716.53
40767.81,,,-16019.50,6021.04
36858.80,,,-14056.00,2120.90
29624.75,,,-4057.28,2469.77
27219.60,,,4380.40,8444.00
42670.89,624.98,3.58,442.12,6.87
8368.85,4988.11,70.45,-2.81,112.40
12079.76,512.94,13.28,563.91,439.32
10060.07,4.48,0.28,606.59,162.10
6041.46,773.88,34.18,122.56,493.35
10482.45,718.89,64.75,1122.20,3.07
5118.68,597.09,44.46,293.31,4.22
2346.13,447.75,61.26,114.05,3.94
3165.46,5.89,0.77,87.60,550.09
1507.77,8.88,2.92,190.82,128.97
624.79,22.78,12.52,33.65,73.78
3940.53,627.60,69.06,681.07,266.71
6459.34,1099.11,51.66,517.18,425.17
2808.76,379.18,27.17,322.99,301.06
5397.65,888.60,40.30,407.05,493.05
6673.14,821.03,23.73,167.07,356.66
4511.97,463.61,47.83,494.70,310.95
2539.87,392.59,56.18,73.95,255.05
1968.02,404.74,53.61,190.31,165.25
652.84,100.06,46.80,54.22,90.82
7586.27,1223.34,34.99,147.09,139.57
7315.06,861.73,19.55,303.40,579.62
5355.60,531.16,29.02,-1417.39,372.46
2574.14,370.88,40.19,165.53,202.03
2746.69,25.84,12.99,172.75,286.39
1692.18,12.19,10.73,133.47,115.17
548.05,600.71,79.18,86.11,54.11
524.37,92.44,44.31,51.93,44.06
835.64,3.01,0.45,87.36,41.41
8336.66,561.15,32.10,302.76,1295.09
2077.16,49.36,18.74,50.08,399.02
1273.60,55.00,8.40,223.20,232.10
788.17,8.32,7.78,28.41,200.21
656.49,5.98,4.89,123.08,149.53
641.43,16.34,9.58,7.25,130.32
581.21,19.65,12.00,101.46,136.95
6273.19,732.90,56.85,1264.29,572.33
5474.45,657.72,62.70,1179.89,319.22
5853.00,1165.00,68.13,1006.00,308.00
4462.43,248.57,28.98,775.57,295.90
2483.27,213.54,45.78,305.24,237.29
1861.65,234.01,42.00,252.92,108.30
2946.50,203.42,22.00,419.13,132.38
1504.16,,,1326.80,
1615.29,,,1276.79,4.82
1718.86,,,1140.65,10.84
586.69,74.12,29.48,66.28,109.77
104.82,26.18,68.28,34.92,8.63
50.70,6.79,27.93,1.66,7.56
30.47,10.93,49.82,-2.78,0.38
6025.67,1212.63,53.50,81.72,376.47
2840.90,535.70,41.83,407.70,262.50
2685.70,878.10,48.78,237.60,321.20
2251.50,699.20,58.40,185.47,199.37
5611.67,750.44,63.94,461.03,253.54
2304.18,381.68,55.51,111.23,177.88
2116.64,441.40,44.42,126.23,82.28
394.09,43.85,39.47,24.10,40.45
198.76,39.51,41.72,11.78,13.75
2788.57,,,149.52,197.35
2252.81,,,26.47,221.85
1468.16,3.45,23.73,-8.50,9.96
6.43,1.10,26.32,0.25,0.99